;account_id;district_id;frequency;account_date;# transactions;# credit in cash transactions;# credit card withdrawal transactions;# collection from another bank withdrawal transactions;# remittance to another bank withdrawal transactions;# withdrawal in cash transactions;# type = withdrawal transactions;# type = withdrawal in cash transactions;# type = credit transactions;avg transaction amount;avg balance
43;3760;44;monthly issuance;1993-01-13;252.0;61.0;;;;143.0;115.0;28.0;109.0;13119.73;53106.89
44;5270;44;monthly issuance;1993-01-13;53.0;1.0;;11.0;;31.0;28.0;3.0;22.0;17600.36;69954.57
45;1699;53;monthly issuance;1993-01-14;267.0;1.0;;47.0;86.0;90.0;176.0;;91.0;1813.9;18615.34
46;3909;1;monthly issuance;1993-01-14;360.0;48.0;3.0;;126.0;136.0;265.0;;95.0;6857.06;44528.37
47;2926;50;monthly issuance;1993-01-14;402.0;54.0;;;171.0;130.0;301.0;;101.0;2761.3;37609.51
48;1731;33;monthly issuance;1993-01-14;218.0;1.0;;47.0;43.0;84.0;127.0;;91.0;1964.0;20269.55
49;11265;15;monthly issuance;1993-01-14;43.0;14.0;;;8.0;14.0;22.0;;21.0;3714.9;22198.18
50;2519;4;monthly issuance;1993-01-15;247.0;1.0;;47.0;43.0;112.0;155.0;;92.0;2034.33;25133.82
51;10364;55;monthly issuance;1993-01-17;45.0;12.0;;;5.0;19.0;24.0;;21.0;5957.54;34272.21
52;1481;15;monthly issuance;1993-01-17;224.0;1.0;;47.0;42.0;91.0;133.0;;91.0;1243.6;17468.29
53;401;32;monthly issuance;1993-01-18;303.0;50.0;;;86.0;120.0;206.0;;97.0;4353.23;28085.37
54;4034;1;monthly issuance;1993-01-18;235.0;70.0;;;;118.0;118.0;;117.0;2864.5;29347.94
55;2330;54;monthly issuance;1993-01-19;256.0;1.0;;47.0;86.0;79.0;165.0;;91.0;1189.02;18404.52
56;1806;40;monthly issuance;1993-01-19;223.0;1.0;;47.0;43.0;89.0;132.0;;91.0;2020.55;21806.24
57;3834;54;monthly issuance;1993-01-19;171.0;29.0;;;61.0;62.0;123.0;;48.0;3618.33;23771.97
58;1222;66;monthly issuance;1993-01-20;236.0;1.0;;47.0;42.0;103.0;145.0;;91.0;2449.37;33812.94
59;212;27;weekly issuance;1993-01-20;291.0;4.0;1.0;47.0;42.0;150.0;165.0;28.0;98.0;17360.85;56432.36
60;456;49;monthly issuance;1993-01-21;259.0;1.0;1.0;47.0;;163.0;139.0;25.0;95.0;18731.13;64930.48
61;459;47;monthly issuance;1993-01-21;47.0;22.0;;;;25.0;25.0;;22.0;1744.68;17425.53
62;772;45;monthly issuance;1993-01-21;363.0;48.0;;;126.0;142.0;268.0;;95.0;6616.31;54944.43
63;1019;52;monthly issuance;1993-01-21;362.0;52.0;;;128.0;135.0;263.0;;99.0;5568.8;38750.1
64;11295;74;monthly issuance;1993-01-21;369.0;54.0;;;;221.0;221.0;;148.0;5127.6;41373.85
65;2970;60;monthly issuance;1993-01-22;204.0;49.0;;;;108.0;108.0;;96.0;4805.07;34296.31
66;2676;73;monthly issuance;1993-01-22;356.0;52.0;;;127.0;130.0;257.0;;99.0;4329.33;34627.7
67;1536;41;weekly issuance;1993-01-22;273.0;18.0;;47.0;42.0;119.0;141.0;20.0;112.0;10272.46;34874.46
68;1179;74;monthly issuance;1993-01-23;211.0;1.0;;47.0;42.0;78.0;120.0;;91.0;1793.1;17508.17
69;280;25;monthly issuance;1993-01-23;317.0;58.0;;;85.0;127.0;212.0;;105.0;3991.6;29698.11
70;2425;41;monthly issuance;1993-01-23;272.0;66.0;;;42.0;117.0;159.0;;113.0;3543.05;29488.61
71;9307;68;monthly issuance;1993-01-24;143.0;26.0;;;30.0;50.0;76.0;4.0;63.0;6720.9;36080.39
72;4055;23;monthly issuance;1993-01-24;229.0;49.0;;;;133.0;133.0;;96.0;8903.38;42938.83
73;5065;66;monthly issuance;1993-01-24;241.0;62.0;;;;132.0;115.0;17.0;109.0;9803.65;40830.87
74;3704;75;monthly issuance;1993-01-24;246.0;1.0;;47.0;43.0;111.0;154.0;;92.0;2318.21;24523.81
75;477;1;monthly issuance;1993-01-25;356.0;49.0;;;128.0;132.0;260.0;;96.0;4590.4;41773.96
76;5891;54;monthly issuance;1993-01-25;82.0;1.0;;15.0;;52.0;48.0;4.0;30.0;11972.68;47426.55
77;1000;77;monthly issuance;1993-01-25;374.0;1.0;;47.0;129.0;150.0;251.0;28.0;95.0;8376.69;53539.51
78;1750;1;monthly issuance;1993-01-26;317.0;49.0;;;85.0;136.0;221.0;;96.0;7798.31;50787.73
79;2023;68;monthly issuance;1993-01-26;396.0;49.0;;;170.0;130.0;300.0;;96.0;5932.96;44874.49
80;6473;12;monthly issuance;1993-01-26;102.0;26.0;;;;60.0;52.0;8.0;42.0;12928.5;52890.4
81;1649;46;monthly issuance;1993-01-26;126.0;20.0;16.0;;;46.0;62.0;;64.0;3605.14;27934.01
82;2670;13;monthly issuance;1993-01-27;288.0;48.0;2.0;;86.0;105.0;193.0;;95.0;8635.28;44524.16
83;1127;27;monthly issuance;1993-01-27;270.0;49.0;15.0;;43.0;116.0;174.0;;96.0;8693.06;56092.23
84;163;30;monthly issuance;1993-01-27;282.0;1.0;;47.0;86.0;103.0;189.0;;93.0;2159.76;25456.22
85;2566;48;monthly issuance;1993-01-27;48.0;26.0;;;;22.0;22.0;;26.0;1797.92;16416.67
86;9;70;monthly issuance;1993-01-27;245.0;81.0;;;;117.0;117.0;;128.0;1697.63;27558.12
87;1144;59;monthly issuance;1993-01-28;228.0;1.0;;47.0;43.0;94.0;137.0;;91.0;1344.75;16611.19
88;2902;32;monthly issuance;1993-01-28;314.0;49.0;;;86.0;132.0;218.0;;96.0;6558.7;41404.13
89;4296;63;monthly issuance;1993-01-28;233.0;49.0;;;;137.0;137.0;;96.0;8001.01;52519.37
90;443;64;monthly issuance;1993-01-28;292.0;1.0;;47.0;126.0;75.0;201.0;;91.0;927.99;21073.54
91;3693;61;monthly issuance;1993-01-29;268.0;57.0;;;42.0;122.0;164.0;;104.0;5935.58;36180.4
92;2070;72;monthly issuance;1993-01-29;267.0;62.0;;;42.0;116.0;158.0;;109.0;4813.28;32489.89
93;1843;12;monthly issuance;1993-01-30;25.0;2.0;;6.0;2.0;10.0;12.0;;13.0;8253.08;41297.48
94;2714;1;monthly issuance;1993-01-30;239.0;71.0;;;;122.0;122.0;;117.0;2848.53;29148.71
95;4078;40;monthly issuance;1993-01-30;212.0;49.0;17.0;;;100.0;117.0;;95.0;11149.23;54488.47
96;1675;36;monthly issuance;1993-02-01;227.0;1.0;;47.0;42.0;90.0;132.0;;95.0;1702.16;22858.93
97;5868;44;monthly issuance;1993-02-02;229.0;68.0;;;;115.0;93.0;22.0;114.0;10405.68;36802.32
98;1805;1;monthly issuance;1993-02-02;217.0;51.0;;;27.0;99.0;114.0;12.0;91.0;8978.61;53974.21
99;2434;17;monthly issuance;1993-02-02;258.0;74.0;;;43.0;94.0;137.0;;121.0;2223.08;19120.91
100;3007;16;monthly issuance;1993-02-02;398.0;49.0;;;171.0;131.0;302.0;;96.0;5726.79;44598.21
101;2574;68;monthly issuance;1993-02-02;272.0;60.0;;;42.0;123.0;165.0;;107.0;5423.47;33955.1
102;862;64;weekly issuance;1993-02-02;291.0;2.0;8.0;47.0;43.0;144.0;182.0;13.0;96.0;15463.52;66572.3
103;1132;1;weekly issuance;1993-02-03;272.0;2.0;;47.0;;176.0;149.0;27.0;96.0;17979.18;66595.25
104;4484;54;monthly issuance;1993-02-03;215.0;46.0;;;;122.0;114.0;8.0;93.0;8530.63;46262.07
105;943;1;monthly issuance;1993-02-03;228.0;1.0;;47.0;43.0;90.0;133.0;;95.0;1270.93;18833.99
106;3514;7;monthly issuance;1993-02-03;228.0;1.0;;47.0;43.0;90.0;133.0;;95.0;1326.36;17808.16
107;3983;67;monthly issuance;1993-02-04;210.0;48.0;;;;115.0;115.0;;95.0;6992.31;38868.97
108;9265;1;monthly issuance;1993-02-04;115.0;21.0;;;23.0;39.0;62.0;;53.0;8275.28;48944.83
109;465;32;monthly issuance;1993-02-04;254.0;23.0;;47.0;43.0;94.0;132.0;5.0;117.0;5567.43;28408.29
110;982;54;monthly issuance;1993-02-05;386.0;72.0;;;172.0;95.0;267.0;;119.0;1475.37;23358.0
111;411;70;monthly issuance;1993-02-05;269.0;50.0;1.0;;42.0;129.0;172.0;;97.0;6955.98;41460.04
112;890;14;monthly issuance;1993-02-05;262.0;58.0;;;43.0;114.0;157.0;;105.0;2935.07;27033.57
113;627;63;monthly issuance;1993-02-05;279.0;49.0;;;42.0;141.0;183.0;;96.0;8009.38;47627.51
114;2429;61;monthly issuance;1993-02-06;305.0;53.0;;;84.0;122.0;206.0;;99.0;4798.69;43947.11
115;3960;64;monthly issuance;1993-02-06;218.0;1.0;;46.0;42.0;87.0;129.0;;89.0;1956.05;23383.76
116;2256;48;monthly issuance;1993-02-06;222.0;1.0;;47.0;42.0;85.0;127.0;;95.0;1934.83;18662.32
117;8051;1;weekly issuance;1993-02-07;85.0;3.0;;15.0;;52.0;46.0;6.0;33.0;9434.44;43944.89
118;2647;73;monthly issuance;1993-02-08;274.0;60.0;;;42.0;125.0;167.0;;107.0;4637.01;37102.83
119;2241;6;monthly issuance;1993-02-08;346.0;61.0;;;125.0;114.0;239.0;;107.0;3434.81;32815.59
120;5622;70;monthly issuance;1993-02-08;196.0;46.0;;;36.0;93.0;120.0;9.0;67.0;13414.56;67891.94
121;2884;1;monthly issuance;1993-02-08;263.0;72.0;;;42.0;102.0;144.0;;119.0;2681.17;32635.96
122;1830;10;monthly issuance;1993-02-08;242.0;53.0;;;42.0;101.0;143.0;;99.0;4925.21;24872.35
123;7753;74;monthly issuance;1993-02-08;102.0;31.0;5.0;;;53.0;50.0;8.0;44.0;13901.27;58226.5
124;244;24;monthly issuance;1993-02-08;353.0;25.0;;46.0;126.0;110.0;236.0;;117.0;1236.33;33464.22
125;1477;1;monthly issuance;1993-02-08;228.0;1.0;;47.0;42.0;91.0;133.0;;95.0;1252.11;16370.36
126;4240;50;monthly issuance;1993-02-08;242.0;5.0;;47.0;;143.0;119.0;24.0;99.0;11723.41;46365.83
127;1006;6;monthly issuance;1993-02-08;392.0;24.0;;46.0;167.0;109.0;276.0;;116.0;1030.75;30111.56
128;830;74;monthly issuance;1993-02-08;208.0;48.0;11.0;;;103.0;114.0;;94.0;7789.97;52232.83
129;9188;45;monthly issuance;1993-02-08;24.0;2.0;;5.0;3.0;6.0;9.0;;15.0;5417.46;30060.95
130;1965;57;issuance after transaction;1993-02-08;262.0;58.0;;;42.0;117.0;146.0;13.0;103.0;9120.26;41040.94
131;1134;6;monthly issuance;1993-02-09;304.0;54.0;;;83.0;121.0;204.0;;100.0;4079.98;25270.6
132;1601;10;monthly issuance;1993-02-09;209.0;1.0;;46.0;42.0;78.0;120.0;;89.0;1710.11;20290.04
133;2861;38;monthly issuance;1993-02-10;239.0;1.0;;46.0;42.0;108.0;150.0;;89.0;2210.75;25924.09
134;813;16;monthly issuance;1993-02-10;78.0;7.0;;15.0;;41.0;36.0;5.0;37.0;4949.47;29380.84
135;2585;75;monthly issuance;1993-02-10;228.0;49.0;;;;132.0;132.0;;96.0;6743.41;36755.6
136;2220;16;monthly issuance;1993-02-10;242.0;1.0;;46.0;42.0;111.0;153.0;;89.0;2315.38;24027.94
137;2763;64;monthly issuance;1993-02-11;314.0;79.0;;;40.0;149.0;169.0;20.0;125.0;13960.06;54090.09
138;2342;51;monthly issuance;1993-02-11;221.0;1.0;;46.0;42.0;90.0;132.0;;89.0;1269.6;20381.44
139;1944;72;monthly issuance;1993-02-12;263.0;50.0;23.0;;41.0;103.0;167.0;;96.0;6815.96;36218.8
140;1966;27;monthly issuance;1993-02-12;275.0;49.0;;;42.0;137.0;179.0;;96.0;7599.09;40903.59
141;1801;46;monthly issuance;1993-02-13;37.0;12.0;;;8.0;12.0;18.0;2.0;17.0;11015.64;52083.86
142;2543;68;monthly issuance;1993-02-13;253.0;1.0;;47.0;42.0;116.0;158.0;;95.0;2143.71;33157.01
143;2293;31;monthly issuance;1993-02-13;244.0;1.0;;46.0;41.0;113.0;154.0;;90.0;2530.19;23867.69
144;11013;1;weekly issuance;1993-02-14;27.0;1.0;;6.0;3.0;11.0;14.0;;13.0;18945.97;57188.21
145;2423;30;monthly issuance;1993-02-14;274.0;1.0;;46.0;82.0;103.0;185.0;;89.0;1883.13;19899.72
146;142;51;monthly issuance;1993-02-15;225.0;1.0;;46.0;42.0;94.0;136.0;;89.0;1810.5;21484.4
147;3424;74;monthly issuance;1993-02-16;355.0;69.0;;;120.0;119.0;220.0;19.0;116.0;8353.97;55232.01
148;539;13;issuance after transaction;1993-02-16;204.0;54.0;2.0;;;112.0;106.0;8.0;90.0;10701.75;46211.11
149;979;21;monthly issuance;1993-02-16;265.0;48.0;;;42.0;129.0;171.0;;94.0;6690.61;36708.78
150;3554;66;monthly issuance;1993-02-16;283.0;113.0;;;;123.0;123.0;;160.0;2215.26;30422.54
151;3545;51;monthly issuance;1993-02-17;246.0;48.0;;;41.0;111.0;152.0;;94.0;8159.85;41114.51
152;3047;16;monthly issuance;1993-02-17;215.0;1.0;;46.0;42.0;84.0;126.0;;89.0;1408.49;20318.99
153;3374;21;monthly issuance;1993-02-17;244.0;48.0;;;;163.0;160.0;3.0;81.0;9454.13;39169.96
154;96;68;monthly issuance;1993-02-18;420.0;4.0;6.0;46.0;167.0;151.0;304.0;20.0;96.0;10512.49;71398.14
155;461;30;monthly issuance;1993-02-18;258.0;1.0;;46.0;42.0;126.0;168.0;;90.0;2165.84;33607.27
156;3593;1;monthly issuance;1993-02-18;306.0;48.0;;;83.0;129.0;212.0;;94.0;5153.49;37020.52
157;3026;24;monthly issuance;1993-02-18;262.0;49.0;;;42.0;125.0;167.0;;95.0;7930.31;36377.13
158;1054;10;monthly issuance;1993-02-19;266.0;55.0;;;42.0;123.0;165.0;;101.0;3734.42;29719.76
159;2433;71;monthly issuance;1993-02-19;230.0;1.0;;46.0;42.0;98.0;140.0;;90.0;1791.81;27813.39
160;3691;50;monthly issuance;1993-02-19;231.0;1.0;;46.0;42.0;99.0;141.0;;90.0;2549.84;24494.36
161;3787;70;monthly issuance;1993-02-19;268.0;48.0;;;42.0;132.0;174.0;;94.0;7708.98;47062.63
162;128;2;monthly issuance;1993-02-19;268.0;99.0;7.0;;;116.0;123.0;;145.0;2059.2;36646.82
163;3168;39;monthly issuance;1993-02-20;236.0;1.0;;46.0;42.0;105.0;147.0;;89.0;2382.33;24702.73
164;4937;12;monthly issuance;1993-02-20;139.0;30.0;;;32.0;60.0;83.0;9.0;47.0;9194.26;49727.46
165;2124;69;monthly issuance;1993-02-20;308.0;48.0;15.0;;83.0;116.0;214.0;;94.0;6879.95;45375.26
166;322;1;monthly issuance;1993-02-20;263.0;50.0;;;41.0;126.0;167.0;;96.0;6326.67;36575.51
167;4355;31;monthly issuance;1993-02-21;280.0;112.0;;;;122.0;122.0;;158.0;2346.57;26384.77
168;1678;1;monthly issuance;1993-02-22;310.0;47.0;;;82.0;135.0;217.0;;93.0;7314.18;49331.5
169;2396;2;monthly issuance;1993-02-22;204.0;1.0;;46.0;42.0;73.0;115.0;;89.0;1815.9;21930.35
170;1005;54;weekly issuance;1993-02-23;262.0;2.0;;46.0;42.0;126.0;152.0;16.0;94.0;12908.23;59309.09
171;697;28;monthly issuance;1993-02-23;258.0;48.0;;;41.0;123.0;164.0;;94.0;8306.93;48518.23
172;925;59;monthly issuance;1993-02-23;241.0;48.0;;;42.0;105.0;147.0;;94.0;7547.56;40055.17
173;2110;64;monthly issuance;1993-02-23;205.0;1.0;;46.0;42.0;74.0;116.0;;89.0;1306.86;22791.02
174;1366;60;monthly issuance;1993-02-24;346.0;62.0;;;126.0;112.0;238.0;;108.0;2350.84;26031.44
175;1050;57;issuance after transaction;1993-02-24;269.0;3.0;;46.0;41.0;133.0;162.0;12.0;95.0;9242.93;42271.29
176;3117;33;monthly issuance;1993-02-24;211.0;1.0;;46.0;42.0;80.0;122.0;;89.0;2267.22;19914.11
177;562;50;monthly issuance;1993-02-25;286.0;111.0;;;;129.0;129.0;;157.0;2825.61;32601.8
178;5369;54;monthly issuance;1993-02-25;232.0;60.0;;;;126.0;126.0;;106.0;2735.67;26447.17
179;2242;7;weekly issuance;1993-02-25;281.0;1.0;;46.0;41.0;147.0;168.0;20.0;93.0;15362.1;50410.94
180;197;1;monthly issuance;1993-02-25;242.0;48.0;;;42.0;106.0;148.0;;94.0;8949.6;39623.02
181;496;69;monthly issuance;1993-02-26;260.0;67.0;;;42.0;105.0;147.0;;113.0;2404.64;22750.04
182;2;1;monthly issuance;1993-02-26;54.0;2.0;;10.0;5.0;27.0;29.0;3.0;22.0;7954.26;32590.62
183;7401;1;monthly issuance;1993-02-26;54.0;2.0;;10.0;5.0;27.0;29.0;3.0;22.0;7937.75;33312.54
184;2486;1;monthly issuance;1993-02-27;73.0;21.0;;;;42.0;33.0;9.0;31.0;16201.56;55582.23
185;428;1;monthly issuance;1993-02-27;232.0;1.0;;46.0;41.0;100.0;141.0;;91.0;2471.22;26055.56
186;3651;23;monthly issuance;1993-02-27;222.0;1.0;;46.0;42.0;90.0;132.0;;90.0;2000.38;24355.6
187;1775;17;monthly issuance;1993-02-27;250.0;1.0;;46.0;41.0;119.0;160.0;;90.0;2529.35;23749.25
188;1688;70;monthly issuance;1993-02-27;233.0;1.0;;46.0;41.0;103.0;144.0;;89.0;2086.35;22019.07
189;361;51;monthly issuance;1993-02-27;305.0;48.0;25.0;;84.0;102.0;211.0;;94.0;7672.53;57969.27
190;1829;43;monthly issuance;1993-02-27;247.0;54.0;;;42.0;105.0;147.0;;100.0;3086.45;24021.46
191;1575;1;monthly issuance;1993-02-27;237.0;1.0;;46.0;42.0;106.0;148.0;;89.0;2091.83;20647.01
192;9203;70;monthly issuance;1993-02-27;337.0;78.0;;;;169.0;151.0;18.0;168.0;11579.13;54412.4
193;3008;72;monthly issuance;1993-02-27;252.0;1.0;;46.0;42.0;121.0;163.0;;89.0;2406.69;29062.97
194;239;69;weekly issuance;1993-03-01;379.0;81.0;;;122.0;130.0;234.0;18.0;127.0;10172.74;58808.66
195;3302;21;monthly issuance;1993-03-02;347.0;23.0;;46.0;124.0;108.0;232.0;;115.0;1008.27;27530.57
196;415;25;monthly issuance;1993-03-03;261.0;54.0;;;42.0;119.0;161.0;;100.0;5126.35;32179.43
197;3513;20;monthly issuance;1993-03-03;290.0;49.0;;;82.0;113.0;195.0;;95.0;6403.25;46045.62
198;4134;7;monthly issuance;1993-03-03;297.0;70.0;;;44.0;137.0;159.0;22.0;116.0;11326.26;48306.38
199;1077;14;monthly issuance;1993-03-03;241.0;76.0;;;;119.0;119.0;;122.0;2707.06;33782.26
200;1713;43;monthly issuance;1993-03-03;222.0;69.0;;;;107.0;107.0;;115.0;3186.01;27359.44
201;1378;59;monthly issuance;1993-03-04;388.0;48.0;;;165.0;129.0;294.0;;94.0;6187.98;56373.26
202;2503;1;monthly issuance;1993-03-05;238.0;52.0;;;41.0;100.0;141.0;;97.0;4031.6;33643.38
203;559;46;monthly issuance;1993-03-05;243.0;1.0;;46.0;41.0;109.0;150.0;;93.0;2127.74;22014.56
204;6555;38;weekly issuance;1993-03-05;71.0;19.0;;;;40.0;37.0;3.0;31.0;11301.57;51034.36
205;744;42;monthly issuance;1993-03-06;239.0;1.0;;46.0;41.0;105.0;146.0;;93.0;2172.62;21946.41
206;882;9;monthly issuance;1993-03-06;265.0;52.0;;;41.0;126.0;167.0;;98.0;4416.22;28744.63
207;86;54;monthly issuance;1993-03-07;262.0;1.0;;46.0;83.0;86.0;169.0;;93.0;1076.8;18652.7
208;1126;56;monthly issuance;1993-03-08;257.0;71.0;;;41.0;100.0;141.0;;116.0;2090.49;33355.1
209;2666;49;monthly issuance;1993-03-08;263.0;1.0;;46.0;82.0;88.0;170.0;;93.0;992.11;18131.45
210;944;70;monthly issuance;1993-03-08;267.0;50.0;;;41.0;130.0;171.0;;96.0;6266.6;44713.86
211;1545;1;monthly issuance;1993-03-08;262.0;43.0;;;78.0;97.0;166.0;9.0;87.0;6089.03;39623.0
212;2453;1;monthly issuance;1993-03-08;206.0;1.0;;46.0;41.0;72.0;113.0;;93.0;1387.64;20957.67
213;3734;43;monthly issuance;1993-03-08;225.0;58.0;;;;121.0;121.0;;104.0;2552.76;25871.33
214;3935;23;monthly issuance;1993-03-08;382.0;11.0;;45.0;163.0;118.0;268.0;13.0;101.0;5705.5;38164.03
215;396;21;monthly issuance;1993-03-08;380.0;47.0;;;164.0;124.0;288.0;;92.0;5942.17;53794.6
216;2694;7;monthly issuance;1993-03-08;70.0;15.0;;;8.0;35.0;43.0;;27.0;6304.11;40976.94
217;4596;74;monthly issuance;1993-03-09;220.0;50.0;;;;126.0;109.0;17.0;94.0;7874.97;36451.97
218;2489;72;monthly issuance;1993-03-09;230.0;1.0;;46.0;41.0;96.0;137.0;;93.0;2274.14;21996.39
219;2895;19;monthly issuance;1993-03-09;265.0;49.0;;;41.0;129.0;170.0;;95.0;6821.73;34227.94
220;317;76;monthly issuance;1993-03-10;237.0;1.0;;46.0;41.0;103.0;144.0;;93.0;2194.96;24452.75
221;2555;53;monthly issuance;1993-03-10;302.0;51.0;;;82.0;123.0;205.0;;97.0;6228.7;47303.97
222;494;60;monthly issuance;1993-03-11;330.0;72.0;5.0;;82.0;126.0;188.0;25.0;117.0;9782.39;50694.7
223;2219;60;monthly issuance;1993-03-11;318.0;105.0;6.0;;;163.0;143.0;26.0;149.0;15100.0;65050.25
224;2581;72;monthly issuance;1993-03-11;271.0;49.0;24.0;;41.0;111.0;176.0;;95.0;7166.45;44457.17
225;112;6;monthly issuance;1993-03-12;243.0;1.0;;46.0;41.0;109.0;150.0;;93.0;2459.93;22356.43
226;3674;38;monthly issuance;1993-03-12;110.0;31.0;;;12.0;49.0;59.0;2.0;49.0;9915.67;47420.84
227;2039;44;monthly issuance;1993-03-12;121.0;24.0;22.0;;;37.0;59.0;;62.0;5134.69;39852.67
228;2712;9;monthly issuance;1993-03-12;233.0;1.0;;45.0;40.0;106.0;146.0;;87.0;2485.96;27456.65
229;395;1;monthly issuance;1993-03-12;288.0;47.0;;;82.0;114.0;196.0;;92.0;7456.47;47704.42
230;2974;9;monthly issuance;1993-03-13;221.0;1.0;;45.0;40.0;94.0;134.0;;87.0;2134.77;35268.02
