;account_id; account issuance freq;# transactions;# credit in cash transactions;# credit card withdrawal transactions;# collection from another bank withdrawal transactions;# remittance to another bank withdrawal transactions;# withdrawal in cash transactions;# type = withdrawal transactions;# type = withdrawal in cash transactions;# type = credit transactions;avg transaction amount;avg balance;loan date;loan amount;loan duration;loan payments;status;district_name;district_region;no. of inhabitants;ratio of urban inhabitants ;average salary ;no. of enterpreneurs per 1000 inhabitants ;crimes;unemploymant;card_type;birthdate;sex;has_disponent;age at loan;new status
10;9235;monthly issuance;139.0;23.0;0.0;0.0;0.0;76.0;76.0;;63.0;4958.8;39962.47;1997-03-13;83280;48;1735;;Litomerice;north Bohemia;114006;62.3;9065;123;4156.5;4.925;;1941-11-04;F;False;20218.0;
11;3907;monthly issuance;112.0;22.0;0.0;0.0;0.0;68.0;67.0;1.0;44.0;9549.22;42220.03;1998-03-16;133848;24;5577;;Litomerice;north Bohemia;114006;62.3;9065;123;4156.5;4.925;;1960-06-06;F;False;13797.0;
12;2055;monthly issuance;73.0;19.0;0.0;0.0;10.0;30.0;40.0;;33.0;4752.29;14873.38;1998-07-19;271260;60;4521;;Litomerice;north Bohemia;114006;62.3;9065;123;4156.5;4.925;;1971-01-06;M;False;10056.0;
13;2018;monthly issuance;114.0;33.0;0.0;0.0;16.0;46.0;62.0;;52.0;2373.27;20231.31;1997-01-21;38520;12;3210;;Havlickuv Brod;east Bohemia;95907;59.1;8388;87;1663.0;2.675;;1939-12-06;M;False;20866.0;
14;3418;issuance after transaction;58.0;19.0;0.0;0.0;0.0;32.0;28.0;4.0;26.0;14578.79;61345.1;1997-06-10;207264;48;4318;;Havlickuv Brod;east Bohemia;95907;59.1;8388;87;1663.0;2.675;;1962-10-15;M;True;12657.0;
15;330;monthly issuance;101.0;21.0;0.0;0.0;0.0;61.0;61.0;;40.0;9274.98;42007.37;1998-07-12;331584;48;6908;;Havlickuv Brod;east Bohemia;95907;59.1;8388;87;1663.0;2.675;;1973-05-26;F;True;9178.0;
16;3005;issuance after transaction;44.0;18.0;0.0;0.0;6.0;15.0;21.0;;23.0;10797.13;48798.7;1998-06-05;390000;48;8125;;Havlickuv Brod;east Bohemia;95907;59.1;8388;87;1663.0;2.675;;1947-12-13;M;False;18437.0;
17;2142;monthly issuance;27.0;8.0;0.0;0.0;2.0;11.0;13.0;;14.0;7965.13;40311.64;1998-03-07;23328;12;1944;;Havlickuv Brod;east Bohemia;95907;59.1;8388;87;1663.0;2.675;;1964-10-19;F;True;12192.0;
18;4415;monthly issuance;190.0;23.0;0.0;0.0;68.0;78.0;146.0;;44.0;5633.2;44234.83;1997-04-01;74040;12;6170;;Opava;north Moravia;182027;56.4;8746;90;4394.0;3.535;;1956-03-13;F;False;14994.0;
19;8085;monthly issuance;127.0;25.0;0.0;0.0;29.0;55.0;81.0;3.0;43.0;9845.95;37448.4;1997-10-17;260400;60;4340;;Opava;north Moravia;182027;56.4;8746;90;4394.0;3.535;;1950-06-19;F;False;17287.0;
20;9455;monthly issuance;112.0;2.0;0.0;15.0;31.0;49.0;76.0;4.0;32.0;10749.78;56102.47;1998-02-07;374760;60;6246;;Opava;north Moravia;182027;56.4;8746;90;4394.0;3.535;;1951-06-12;M;True;17042.0;
21;2699;monthly issuance;144.0;1.0;3.0;20.0;30.0;71.0;99.0;5.0;40.0;13155.38;54598.84;1998-08-30;231168;48;4816;;Opava;north Moravia;182027;56.4;8746;90;4394.0;3.535;junior;1978-05-11;F;False;7416.0;
22;4725;monthly issuance;25.0;1.0;0.0;6.0;2.0;10.0;12.0;;13.0;13602.68;40044.58;1997-11-04;168264;36;4674;;Opava;north Moravia;182027;56.4;8746;90;4394.0;3.535;;1950-10-08;M;False;17194.0;
23;873;monthly issuance;64.0;16.0;0.0;0.0;16.0;23.0;39.0;;25.0;2712.96;21491.79;1998-02-24;178500;60;2975;;Opava;north Moravia;182027;56.4;8746;90;4394.0;3.535;;1971-08-26;F;False;9679.0;
24;6649;monthly issuance;62.0;17.0;0.0;0.0;0.0;29.0;25.0;4.0;33.0;9885.91;40047.08;1997-05-22;100260;60;1671;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1967-07-19;M;False;10900.0;
25;9377;monthly issuance;152.0;30.0;0.0;0.0;29.0;58.0;84.0;3.0;65.0;7603.8;55851.8;1997-04-29;99936;24;4164;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1966-01-22;F;False;11420.0;
26;4999;monthly issuance;97.0;1.0;0.0;15.0;22.0;45.0;64.0;3.0;30.0;8861.79;35478.66;1997-05-18;165168;36;4588;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1958-07-03;F;True;14199.0;
27;718;monthly issuance;110.0;25.0;0.0;0.0;32.0;39.0;67.0;4.0;39.0;8322.77;40141.8;1997-08-20;76944;12;6412;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1956-09-13;F;False;14951.0;
28;2246;monthly issuance;37.0;10.0;0.0;0.0;0.0;19.0;19.0;;18.0;12449.36;44265.27;1997-02-05;415800;60;6930;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1949-09-05;F;False;17320.0;
29;3664;monthly issuance;90.0;25.0;0.0;0.0;0.0;49.0;47.0;2.0;41.0;14286.52;62387.09;1997-09-20;271584;48;5658;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1976-04-24;M;False;7819.0;
30;6792;monthly issuance;70.0;15.0;0.0;0.0;18.0;27.0;45.0;;25.0;3752.75;29906.53;1997-03-17;17184;12;1432;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1944-05-31;F;False;19283.0;
31;8772;monthly issuance;77.0;3.0;0.0;13.0;9.0;28.0;37.0;;40.0;4253.81;17535.78;1997-06-19;88272;48;1839;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1979-05-13;F;False;6612.0;
32;1869;monthly issuance;107.0;20.0;7.0;0.0;0.0;62.0;69.0;;38.0;8860.97;61295.97;1998-01-29;37944;36;1054;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;classic;1966-04-10;F;False;11617.0;
33;7674;monthly issuance;66.0;18.0;0.0;0.0;12.0;28.0;38.0;2.0;26.0;11653.44;60311.77;1997-03-21;94488;24;3937;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1958-08-21;M;False;14092.0;
34;9646;weekly issuance;86.0;27.0;0.0;0.0;0.0;46.0;43.0;3.0;40.0;12324.54;43095.51;1998-04-02;279072;48;5814;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1969-01-19;M;True;10665.0;
35;1906;monthly issuance;89.0;16.0;0.0;0.0;18.0;41.0;58.0;1.0;30.0;9539.0;51453.8;1997-10-08;44952;24;1873;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1970-03-25;M;False;10059.0;
36;4144;monthly issuance;149.0;42.0;0.0;0.0;18.0;69.0;81.0;6.0;62.0;12327.57;49635.72;1998-06-21;212976;36;5916;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1973-06-27;F;True;9125.0;
37;7099;monthly issuance;169.0;3.0;0.0;22.0;52.0;71.0;118.0;5.0;46.0;8040.11;42818.5;1998-06-10;234336;48;4882;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1971-12-03;F;False;9686.0;
38;2622;monthly issuance;130.0;37.0;0.0;0.0;17.0;56.0;73.0;;57.0;4987.94;31673.9;1998-05-21;136344;24;5681;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1964-05-26;F;True;12413.0;
39;2872;monthly issuance;52.0;13.0;0.0;0.0;10.0;21.0;31.0;;21.0;4646.15;24411.29;1997-05-19;268320;60;4472;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1952-09-29;F;False;16303.0;
40;8784;monthly issuance;126.0;1.0;0.0;18.0;13.0;60.0;69.0;4.0;53.0;11075.57;45497.74;1998-04-28;74352;24;3098;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1957-11-23;F;False;14766.0;
41;6592;monthly issuance;81.0;23.0;0.0;0.0;8.0;41.0;49.0;;32.0;15753.59;63544.65;1997-08-24;390660;60;6511;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1978-06-29;F;False;6996.0;
42;9037;monthly issuance;178.0;42.0;0.0;0.0;36.0;56.0;92.0;;86.0;4220.94;32014.6;1998-09-15;321936;48;6707;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1961-04-08;F;True;13674.0;
43;6440;monthly issuance;40.0;15.0;0.0;0.0;0.0;19.0;17.0;2.0;21.0;13359.81;60619.16;1997-06-17;34572;12;2881;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1976-12-30;F;False;7474.0;
44;3862;monthly issuance;169.0;39.0;0.0;0.0;34.0;76.0;101.0;9.0;59.0;11652.36;56133.65;1998-09-18;74916;36;2081;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1942-09-16;M;False;20456.0;
45;2545;monthly issuance;110.0;25.0;0.0;0.0;33.0;38.0;71.0;;39.0;3808.92;22133.74;1998-02-13;428784;48;8933;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1936-04-14;M;True;22585.0;
46;7176;monthly issuance;54.0;13.0;0.0;0.0;7.0;24.0;31.0;;23.0;9742.9;42000.79;1997-11-30;203940;60;3399;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1954-05-11;F;False;15909.0;
47;10404;monthly issuance;113.0;15.0;0.0;0.0;39.0;45.0;84.0;;29.0;6314.96;48180.38;1998-03-01;194280;60;3238;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1969-08-12;M;False;10428.0;
48;11231;monthly issuance;52.0;1.0;0.0;9.0;9.0;25.0;29.0;5.0;18.0;15233.59;60522.04;1997-10-24;89280;12;7440;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1947-11-14;M;False;18242.0;
49;11141;weekly issuance;40.0;14.0;0.0;0.0;0.0;19.0;16.0;3.0;21.0;13027.2;52484.82;1997-10-07;44940;12;3745;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1976-01-20;F;False;7931.0;
50;6061;monthly issuance;80.0;15.0;0.0;0.0;9.0;43.0;52.0;;28.0;7503.72;43197.28;1998-05-28;5148;12;429;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1963-03-18;F;False;12855.0;
51;10652;monthly issuance;86.0;1.0;0.0;13.0;18.0;41.0;56.0;3.0;27.0;9538.88;41690.6;1998-05-07;45720;12;3810;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1978-12-15;F;False;7083.0;
52;8926;monthly issuance;77.0;14.0;0.0;0.0;23.0;22.0;45.0;;32.0;5104.68;36640.32;1998-01-23;566640;60;9444;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1972-02-06;F;True;9483.0;
53;10068;monthly issuance;23.0;10.0;0.0;0.0;0.0;10.0;10.0;;13.0;12138.52;68874.72;1997-07-28;77808;12;6484;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1955-11-29;M;True;15217.0;
54;10022;monthly issuance;39.0;1.0;0.0;7.0;6.0;18.0;20.0;4.0;15.0;10188.81;54315.56;1998-01-03;218064;48;4543;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1944-04-08;F;False;19628.0;
55;10679;monthly issuance;15.0;1.0;0.0;4.0;0.0;6.0;6.0;;9.0;26978.87;64942.89;1997-10-02;197808;24;8242;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1962-11-03;F;False;12752.0;
56;3953;monthly issuance;32.0;2.0;0.0;6.0;0.0;12.0;12.0;;20.0;11790.42;59128.59;1998-01-04;63576;12;5298;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1960-04-03;F;False;13790.0;
57;9560;monthly issuance;21.0;6.0;0.0;0.0;0.0;7.0;7.0;;14.0;10315.96;38742.92;1998-03-15;157068;36;4363;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1971-09-12;F;False;9681.0;
58;3293;monthly issuance;142.0;2.0;1.0;16.0;47.0;61.0;100.0;9.0;33.0;10721.93;58466.19;1998-11-27;276084;36;7669;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;classic;1964-03-13;F;False;12677.0;
59;5698;monthly issuance;86.0;23.0;0.0;0.0;9.0;40.0;46.0;3.0;37.0;12681.03;57018.62;1998-11-21;99216;36;2756;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1951-03-22;F;True;17411.0;
60;1876;monthly issuance;66.0;16.0;0.0;0.0;14.0;25.0;39.0;;27.0;6884.19;44982.42;1998-09-10;209040;24;8710;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1979-03-25;M;False;7109.0;
61;4616;monthly issuance;16.0;7.0;0.0;0.0;1.0;5.0;6.0;;10.0;10860.61;58360.68;1998-01-12;66696;24;2779;;Hl.m. Praha;Prague;1204953;100.0;12541;167;92392.0;0.36;;1976-01-01;M;False;8047.0;
62;1252;weekly issuance;118.0;2.0;0.0;20.0;0.0;76.0;72.0;4.0;42.0;8874.04;40688.35;1997-04-01;148140;36;4115;;Rakovnik;central Bohemia;53921;41.3;8598;123;1736.0;3.0149999999999997;;1962-03-06;F;False;12810.0;
63;2262;monthly issuance;153.0;42.0;3.0;0.0;0.0;86.0;80.0;9.0;64.0;15620.82;64923.16;1998-12-02;230220;36;6395;;Rakovnik;central Bohemia;53921;41.3;8598;123;1736.0;3.0149999999999997;classic;1950-01-26;M;False;17842.0;
64;5196;weekly issuance;31.0;9.0;0.0;0.0;3.0;14.0;17.0;;14.0;14454.19;49309.01;1997-12-28;79824;12;6652;;Rakovnik;central Bohemia;53921;41.3;8598;123;1736.0;3.0149999999999997;;1956-12-30;M;False;14973.0;
65;7721;monthly issuance;56.0;2.0;0.0;11.0;0.0;33.0;31.0;2.0;23.0;8875.53;39247.39;1998-05-28;45456;12;3788;;Rakovnik;central Bohemia;53921;41.3;8598;123;1736.0;3.0149999999999997;;1947-05-15;F;False;18641.0;
66;675;monthly issuance;126.0;33.0;0.0;0.0;15.0;58.0;73.0;;53.0;3746.16;29947.0;1997-04-01;102240;60;1704;;Jihlava;south Moravia;109164;63.6;8757;96;2341.5;3.665;;1945-09-24;F;True;18817.0;
67;3448;weekly issuance;73.0;14.0;0.0;0.0;0.0;43.0;42.0;1.0;30.0;7446.94;36855.82;1997-10-20;68664;24;2861;;Jihlava;south Moravia;109164;63.6;8757;96;2341.5;3.665;;1980-02-19;F;True;6453.0;
68;3556;monthly issuance;87.0;6.0;0.0;13.0;18.0;38.0;46.0;10.0;31.0;5778.62;34822.47;1998-09-22;174840;60;2914;;Jihlava;south Moravia;109164;63.6;8757;96;2341.5;3.665;;1951-05-07;F;False;17305.0;
69;5118;monthly issuance;150.0;29.0;0.0;0.0;33.0;67.0;100.0;;50.0;2734.47;30896.0;1997-05-04;53232;48;1109;;Olomouc;north Moravia;226122;62.6;8994;110;9440.0;4.295;;1964-05-17;M;False;12040.0;
70;10445;monthly issuance;129.0;21.0;9.0;0.0;16.0;64.0;89.0;;40.0;7822.42;54304.51;1998-01-22;23412;12;1951;;Olomouc;north Moravia;226122;62.6;8994;110;9440.0;4.295;classic;1955-08-26;M;True;15490.0;
71;4794;monthly issuance;86.0;18.0;0.0;0.0;32.0;25.0;57.0;;29.0;5107.33;26347.12;1997-12-27;465504;48;9698;;Olomouc;north Moravia;226122;62.6;8994;110;9440.0;4.295;;1962-05-04;M;False;13021.0;
72;5445;monthly issuance;41.0;2.0;0.0;7.0;12.0;13.0;24.0;1.0;16.0;4217.72;40292.34;1997-10-01;78696;36;2186;;Olomouc;north Moravia;226122;62.6;8994;110;9440.0;4.295;;1971-03-24;F;False;9688.0;
73;349;monthly issuance;85.0;26.0;0.0;0.0;10.0;34.0;44.0;;41.0;3205.86;17076.76;1998-09-09;42816;12;3568;;Olomouc;north Moravia;226122;62.6;8994;110;9440.0;4.295;;1937-06-01;M;True;22380.0;
74;4681;monthly issuance;134.0;4.0;0.0;20.0;31.0;60.0;90.0;1.0;43.0;6360.31;37092.95;1997-03-15;162624;48;3388;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1957-11-04;F;False;14376.0;
75;9633;monthly issuance;120.0;26.0;0.0;0.0;0.0;65.0;57.0;8.0;55.0;10629.01;45016.69;1997-06-30;59448;24;2477;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1952-08-26;M;False;16379.0;
76;10478;weekly issuance;112.0;36.0;0.0;0.0;0.0;55.0;53.0;2.0;57.0;13043.2;62460.23;1998-01-02;267600;48;5575;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1958-01-20;F;False;14592.0;
77;525;monthly issuance;59.0;15.0;0.0;0.0;6.0;24.0;30.0;;29.0;7825.45;45912.4;1997-07-16;210384;48;4383;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1956-03-22;F;False;15091.0;
78;2335;monthly issuance;174.0;23.0;0.0;0.0;60.0;57.0;117.0;;57.0;3555.92;12006.4;1997-11-12;541200;60;9020;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1946-12-18;F;False;18592.0;
79;2116;monthly issuance;104.0;24.0;0.0;0.0;22.0;43.0;60.0;5.0;39.0;9193.25;42291.19;1997-08-04;92400;12;7700;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;classic;1974-06-20;F;False;8446.0;
80;1004;monthly issuance;148.0;42.0;0.0;0.0;0.0;87.0;83.0;4.0;61.0;15490.92;64193.4;1998-04-11;188532;36;5237;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1975-09-01;F;False;8258.0;
81;10202;monthly issuance;83.0;19.0;0.0;0.0;18.0;35.0;49.0;4.0;30.0;9989.97;46147.52;1997-06-19;305424;48;6363;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1963-10-13;F;False;12303.0;
82;7907;monthly issuance;81.0;22.0;0.0;0.0;10.0;36.0;45.0;1.0;35.0;9153.71;36685.09;1997-08-31;97392;12;8116;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1960-06-23;M;True;13583.0;
83;7262;monthly issuance;21.0;7.0;0.0;0.0;1.0;8.0;9.0;;12.0;8085.1;33927.09;1997-02-10;73260;60;1221;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1940-07-07;F;False;20672.0;
84;8742;monthly issuance;32.0;10.0;0.0;0.0;4.0;8.0;12.0;;20.0;5645.51;32407.65;1997-07-29;33144;12;2762;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1980-01-27;F;True;6393.0;
85;226;monthly issuance;93.0;27.0;1.0;0.0;13.0;36.0;50.0;;43.0;7501.67;48376.26;1998-07-12;109344;12;9112;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;classic;1944-10-25;F;False;19618.0;
86;1928;monthly issuance;114.0;8.0;0.0;21.0;0.0;64.0;58.0;6.0;50.0;6040.26;29645.32;1998-12-06;55632;24;2318;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1948-12-18;M;False;18250.0;
87;8505;monthly issuance;45.0;11.0;0.0;0.0;0.0;18.0;18.0;;27.0;5868.54;35642.2;1997-12-10;42840;12;3570;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1937-11-11;M;False;21944.0;
88;938;monthly issuance;15.0;9.0;0.0;0.0;0.0;2.0;2.0;;13.0;3258.51;23066.61;1998-05-21;22260;60;371;;Karvina;north Moravia;285387;89.9;10177;81;9993.0;7.1899999999999995;;1940-11-26;F;False;20995.0;
89;6856;monthly issuance;148.0;26.0;0.0;0.0;51.0;51.0;101.0;1.0;46.0;6250.36;25654.38;1997-04-30;124344;36;3454;;Hradec Kralove;east Bohemia;161854;76.3;9425;125;3988.0;2.11;;1979-06-08;F;False;6536.0;
90;9052;issuance after transaction;133.0;27.0;0.0;0.0;0.0;73.0;71.0;2.0;60.0;10085.17;39870.41;1997-02-26;71976;24;2999;;Hradec Kralove;east Bohemia;161854;76.3;9425;125;3988.0;2.11;;1965-07-14;M;False;11550.0;
91;10365;monthly issuance;78.0;14.0;0.0;0.0;23.0;26.0;48.0;1.0;29.0;6935.73;31518.18;1997-01-04;260640;36;7240;;Domazlice;west Bohemia;58400;52.4;8620;100;1103.0;1.175;;1949-01-21;F;False;17515.0;
92;10134;monthly issuance;59.0;17.0;0.0;0.0;7.0;27.0;34.0;;25.0;15067.19;60593.84;1998-01-11;136368;24;5682;;Domazlice;west Bohemia;58400;52.4;8620;100;1103.0;1.175;;1969-07-04;M;False;10418.0;
93;7957;monthly issuance;175.0;44.0;0.0;0.0;36.0;74.0;108.0;2.0;65.0;11403.55;50590.53;1997-06-14;42900;12;3575;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1964-09-21;M;True;11954.0;
94;7045;monthly issuance;21.0;1.0;0.0;6.0;0.0;9.0;9.0;;12.0;17591.31;54677.28;1997-06-16;288720;48;6015;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1943-04-19;M;False;19782.0;
95;8320;monthly issuance;17.0;1.0;0.0;4.0;0.0;4.0;4.0;;13.0;12153.43;40151.71;1997-06-04;309660;60;5161;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1958-09-27;F;True;14130.0;
96;2165;monthly issuance;14.0;2.0;0.0;5.0;0.0;3.0;3.0;;11.0;11047.05;42902.41;1997-08-22;78600;24;3275;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1956-05-09;M;False;15080.0;
97;9227;monthly issuance;30.0;10.0;0.0;0.0;4.0;6.0;10.0;;20.0;2356.26;18241.44;1998-04-29;191580;60;3193;;Trutnov;east Bohemia;121947;70.5;8541;131;3667.5;2.74;;1966-01-11;F;False;11796.0;
98;11271;monthly issuance;111.0;7.0;0.0;16.0;36.0;37.0;73.0;;38.0;3749.47;26491.78;1997-01-31;67320;36;1870;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1972-01-26;M;False;9137.0;
99;4863;monthly issuance;81.0;2.0;1.0;12.0;16.0;39.0;51.0;5.0;25.0;11450.62;50621.1;1997-03-18;76080;12;6340;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;junior;1979-04-06;F;False;6556.0;
100;5837;monthly issuance;91.0;27.0;0.0;0.0;0.0;51.0;45.0;6.0;40.0;13451.67;54375.02;1997-09-14;177804;36;4939;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1971-07-07;F;False;9566.0;
101;6265;monthly issuance;69.0;21.0;0.0;0.0;6.0;36.0;36.0;6.0;27.0;16362.87;69963.48;1997-06-10;87360;24;3640;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1937-03-15;M;False;22002.0;
102;5164;monthly issuance;54.0;14.0;0.0;0.0;7.0;23.0;30.0;;24.0;2960.05;25150.98;1998-03-23;22356;36;621;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1940-04-04;M;False;21172.0;
103;2000;monthly issuance;84.0;14.0;0.0;0.0;23.0;36.0;59.0;;25.0;5449.59;44617.08;1998-07-14;290820;60;4847;;Kolin;central Bohemia;95616;51.4;9307;118;2828.0;4.14;;1937-10-28;M;False;22174.0;
104;4190;monthly issuance;176.0;39.0;0.0;0.0;56.0;59.0;115.0;;61.0;3669.82;34044.43;1997-08-28;405780;60;6763;;Uherske Hradiste;south Moravia;145688;40.7;8544;109;2812.5;1.5750000000000002;;1951-01-19;M;False;17023.0;
105;1498;weekly issuance;113.0;24.0;0.0;0.0;0.0;53.0;45.0;8.0;60.0;9700.01;45342.2;1998-10-07;165780;60;2763;;Uherske Hradiste;south Moravia;145688;40.7;8544;109;2812.5;1.5750000000000002;;1951-07-24;M;False;17242.0;
106;8919;monthly issuance;81.0;22.0;0.0;0.0;14.0;23.0;37.0;;44.0;2043.76;20237.19;1998-06-08;76104;24;3171;;Uherske Hradiste;south Moravia;145688;40.7;8544;109;2812.5;1.5750000000000002;;1961-10-03;F;True;13397.0;
