;frequency;date;# trans;oper #1;oper #2;oper #3;oper #4;oper #5;type #1;type #2;type #3;avg trans amount;avg trans balance;loan date;loan amount;loan duration (mths);loan payments;loan status;district_region;no. of inhabitants;no. of municipalities with inhabitants < 499 ;no. of municipalities with inhabitants 500-1999;no. of municipalities with inhabitants 2000-9999 ;no. of municipalities with inhabitants >10000 ;no. of cities ;ratio of urban inhabitants ;average salary ;unemploymant rate '95 ;unemploymant rate '96 ;no. of enterpreneurs per 1000 inhabitants ;no. of commited crimes '95 ;no. of commited crimes '96 ;card type;issued;birthdate;sex;has disponent
10;monthly issuance;1993-04-28;93.0;24.0;0.0;0.0;0.0;54.0;47.0;7.0;39.0;13230.34;54422.6;1994-08-27;121896;24;5079;1;south Moravia;157042;49;70;18;0;9;33.9;8743;1.88;2.43;111;3659;3894;;;1965-03-07;M;False
11;monthly issuance;1993-07-01;102.0;16.0;0.0;0.0;33.0;40.0;73.0;0.0;29.0;4093.04;32788.14;1994-08-04;14628;12;1219;1;south Moravia;157042;49;70;18;0;9;33.9;8743;1.88;2.43;111;3659;3894;;;1949-03-08;F;False
12;monthly issuance;1993-11-08;43.0;12.0;0.0;0.0;4.0;19.0;22.0;1.0;20.0;10433.44;47991.53;1994-09-30;71460;12;5955;1;south Moravia;157042;49;70;18;0;9;33.9;8743;1.88;2.43;111;3659;3894;;;1945-08-03;M;True
13;issuance after transaction;1995-10-24;34.0;8.0;4.0;0.0;0.0;9.0;13.0;0.0;21.0;8159.97;43196.74;1996-12-05;417600;60;6960;1;south Moravia;157042;49;70;18;0;9;33.9;8743;1.88;2.43;111;3659;3894;gold;1996-07-17;1970-10-12;M;False
14;monthly issuance;1993-01-19;171.0;29.0;0.0;0.0;61.0;62.0;123.0;0.0;48.0;3618.33;23771.97;1994-09-28;23052;12;1921;1;south Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;;;1940-11-01;F;True
15;monthly issuance;1993-01-25;82.0;1.0;0.0;15.0;0.0;52.0;48.0;4.0;30.0;11972.68;47426.55;1994-04-18;65184;12;5432;1;south Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;;;1957-09-29;M;False
16;monthly issuance;1993-05-11;64.0;16.0;0.0;0.0;0.0;35.0;34.0;1.0;29.0;9442.16;36369.98;1994-07-24;208128;48;4336;-1;south Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;;;1951-08-06;M;False
17;monthly issuance;1993-06-10;23.0;6.0;0.0;0.0;0.0;8.0;8.0;0.0;15.0;13406.74;50009.91;1993-12-23;75624;24;3151;-1;south Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;;;1958-12-07;M;False
18;monthly issuance;1993-12-01;70.0;15.0;0.0;0.0;9.0;34.0;43.0;0.0;27.0;5261.05;35614.74;1994-12-21;100980;60;1683;1;south Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;;;1965-07-31;M;False
19;issuance after transaction;1994-12-01;72.0;2.0;0.0;12.0;16.0;31.0;43.0;4.0;25.0;6453.25;36840.57;1995-11-22;113796;36;3161;1;south Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;;;1971-10-09;M;True
20;monthly issuance;1995-01-11;68.0;16.0;0.0;0.0;9.0;31.0;40.0;0.0;28.0;3856.6;20158.0;1996-02-20;56100;60;935;1;south Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;;;1958-07-07;M;False
21;monthly issuance;1995-08-03;77.0;18.0;0.0;0.0;23.0;25.0;48.0;0.0;29.0;2434.24;27533.66;1996-07-25;11400;12;950;1;south Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;;;1980-04-30;F;False
22;monthly issuance;1996-01-22;52.0;12.0;0.0;0.0;6.0;25.0;31.0;0.0;21.0;8935.78;44093.97;1996-11-28;179328;48;3736;1;south Moravia;387570;0;0;0;1;1;100.0;9897;1.60;1.96;140;18721;18696;;;1973-11-21;M;False
23;monthly issuance;1993-01-24;143.0;26.0;0.0;0.0;30.0;50.0;76.0;4.0;63.0;6720.9;36080.39;1994-09-19;41904;12;3492;1;north Moravia;228848;15;40;18;2;6;57.2;9893;4.09;4.72;96;5623;5887;;;1974-07-08;M;False
24;weekly issuance;1993-05-10;41.0;13.0;0.0;0.0;0.0;20.0;17.0;3.0;21.0;11912.36;47302.55;1994-01-20;253200;60;4220;1;north Moravia;228848;15;40;18;2;6;57.2;9893;4.09;4.72;96;5623;5887;;;1950-03-13;F;False
25;monthly issuance;1993-07-11;17.0;1.0;0.0;5.0;1.0;6.0;7.0;0.0;10.0;13038.09;45198.15;1993-12-13;259740;60;4329;1;north Moravia;228848;15;40;18;2;6;57.2;9893;4.09;4.72;96;5623;5887;;;1979-03-16;M;False
26;monthly issuance;1993-09-12;143.0;2.0;0.0;17.0;26.0;64.0;82.0;8.0;53.0;9877.5;62933.47;1995-03-11;76680;24;3195;1;north Moravia;228848;15;40;18;2;6;57.2;9893;4.09;4.72;96;5623;5887;;;1949-01-07;M;True
27;monthly issuance;1994-10-30;14.0;4.0;0.0;0.0;0.0;5.0;5.0;0.0;9.0;7253.3;31793.74;1995-04-15;68400;12;5700;-1;north Moravia;228848;15;40;18;2;6;57.2;9893;4.09;4.72;96;5623;5887;;;1976-06-09;F;False
28;monthly issuance;1994-12-09;52.0;14.0;0.0;0.0;6.0;22.0;28.0;0.0;24.0;4348.37;27019.57;1995-11-04;99336;24;4139;1;north Moravia;228848;15;40;18;2;6;57.2;9893;4.09;4.72;96;5623;5887;;;1980-07-09;F;False
29;monthly issuance;1996-03-14;10.0;4.0;0.0;0.0;0.0;3.0;3.0;0.0;7.0;8963.98;32592.68;1996-07-06;141948;36;3943;1;north Moravia;228848;15;40;18;2;6;57.2;9893;4.09;4.72;96;5623;5887;;;1950-09-26;F;False
30;monthly issuance;1993-01-26;102.0;26.0;0.0;0.0;0.0;60.0;52.0;8.0;42.0;12928.5;52890.4;1994-05-26;76908;12;6409;-1;central Bohemia;107870;84;29;6;1;6;58.0;8754;3.83;4.31;137;3804;3868;;;1946-01-19;F;False
31;monthly issuance;1993-01-30;25.0;2.0;0.0;6.0;2.0;10.0;12.0;0.0;13.0;8253.08;41297.48;1993-08-03;105804;36;2939;1;central Bohemia;107870;84;29;6;1;6;58.0;8754;3.83;4.31;137;3804;3868;;;1940-04-20;F;False
32;monthly issuance;1993-02-20;139.0;30.0;0.0;0.0;32.0;60.0;83.0;9.0;47.0;9194.26;49727.46;1994-07-23;143904;24;5996;1;central Bohemia;107870;84;29;6;1;6;58.0;8754;3.83;4.31;137;3804;3868;;;1951-04-10;M;False
33;monthly issuance;1993-08-21;119.0;22.0;0.0;0.0;28.0;51.0;79.0;0.0;40.0;7321.52;36942.0;1995-03-15;331560;60;5526;1;central Bohemia;107870;84;29;6;1;6;58.0;8754;3.83;4.31;137;3804;3868;;;1980-11-23;M;True
34;monthly issuance;1994-11-24;143.0;2.0;0.0;22.0;18.0;79.0;88.0;9.0;46.0;12882.52;57131.74;1996-10-02;392460;60;6541;1;central Bohemia;107870;84;29;6;1;6;58.0;8754;3.83;4.31;137;3804;3868;;;1980-11-13;F;True
35;weekly issuance;1995-04-09;122.0;24.0;0.0;0.0;33.0;50.0;83.0;0.0;39.0;9023.63;54371.3;1996-09-19;74124;36;2059;1;central Bohemia;107870;84;29;6;1;6;58.0;8754;3.83;4.31;137;3804;3868;;;1939-04-13;F;False
36;monthly issuance;1993-02-04;115.0;21.0;0.0;0.0;23.0;39.0;62.0;0.0;53.0;8275.28;48944.83;1994-07-11;39576;12;3298;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1980-05-02;F;False
37;weekly issuance;1993-02-07;85.0;3.0;0.0;15.0;0.0;52.0;46.0;6.0;33.0;9434.44;43944.89;1994-06-01;208320;48;4340;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1968-04-14;F;True
38;weekly issuance;1993-02-14;27.0;1.0;0.0;6.0;3.0;11.0;14.0;0.0;13.0;18945.97;57188.21;1993-09-06;274740;60;4579;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1978-09-07;M;False
39;monthly issuance;1993-02-26;54.0;2.0;0.0;10.0;5.0;27.0;29.0;3.0;22.0;7954.26;32590.62;1994-01-05;80952;24;3373;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1945-02-04;M;True
40;monthly issuance;1993-02-26;54.0;2.0;0.0;10.0;5.0;27.0;29.0;3.0;22.0;7937.75;33312.54;1994-01-05;80952;24;3373;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1945-02-04;M;True
41;monthly issuance;1993-02-27;73.0;21.0;0.0;0.0;0.0;42.0;33.0;9.0;31.0;16201.56;55582.23;1994-01-10;24516;12;2043;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1958-10-07;M;False
42;monthly issuance;1993-03-13;153.0;13.0;0.0;22.0;36.0;60.0;89.0;7.0;57.0;6527.34;31375.16;1995-01-11;76416;24;3184;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1937-09-02;M;True
43;monthly issuance;1993-03-24;139.0;38.0;0.0;0.0;0.0;79.0;79.0;0.0;60.0;3872.07;18632.93;1995-02-05;316140;60;5269;-1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1968-02-22;M;False
44;weekly issuance;1993-03-27;96.0;21.0;0.0;0.0;12.0;48.0;56.0;4.0;36.0;9301.09;40838.76;1994-08-05;120888;36;3358;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1944-04-20;F;False
45;monthly issuance;1993-04-22;133.0;19.0;0.0;0.0;38.0;59.0;97.0;0.0;36.0;6032.84;42224.44;1994-10-02;11736;24;489;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1938-09-16;M;False
46;monthly issuance;1993-05-09;51.0;15.0;0.0;0.0;9.0;18.0;27.0;0.0;24.0;3259.0;25900.32;1994-02-06;78936;12;6578;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1957-01-22;F;False
47;monthly issuance;1993-05-20;55.0;15.0;0.0;0.0;6.0;26.0;32.0;0.0;23.0;13671.43;54652.9;1994-01-31;108144;36;3004;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1963-05-12;F;True
48;weekly issuance;1993-05-29;83.0;2.0;0.0;14.0;10.0;44.0;53.0;1.0;29.0;7915.58;36635.12;1994-07-28;131292;36;3647;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1954-03-20;M;False
49;monthly issuance;1993-05-30;120.0;33.0;0.0;0.0;0.0;69.0;61.0;8.0;51.0;13845.46;64493.1;1994-12-21;31248;12;2604;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1939-03-15;F;False
50;monthly issuance;1993-06-21;57.0;19.0;0.0;0.0;5.0;24.0;25.0;4.0;28.0;12422.02;45414.07;1994-08-10;323472;48;6739;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1940-10-15;F;False
51;monthly issuance;1993-06-28;29.0;2.0;0.0;6.0;4.0;7.0;10.0;1.0;18.0;8369.56;37462.09;1993-12-16;38148;12;3179;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1965-01-22;F;False
52;weekly issuance;1993-07-06;158.0;34.0;0.0;0.0;19.0;83.0;101.0;1.0;56.0;11730.84;57977.03;1995-05-08;36396;12;3033;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1972-04-03;M;False
53;monthly issuance;1993-08-10;160.0;36.0;0.0;0.0;0.0;86.0;78.0;8.0;74.0;11357.39;56054.0;1995-03-04;168984;24;7041;-1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1976-03-18;M;False
54;monthly issuance;1993-08-29;130.0;26.0;0.0;0.0;34.0;40.0;74.0;0.0;56.0;4060.68;26358.75;1994-12-19;482940;60;8049;-1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1976-05-21;F;False
55;monthly issuance;1993-09-05;117.0;23.0;0.0;0.0;14.0;62.0;76.0;0.0;41.0;5173.09;31139.75;1995-03-27;31728;24;1322;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1950-04-10;M;True
56;monthly issuance;1993-09-17;97.0;21.0;0.0;0.0;36.0;27.0;63.0;0.0;34.0;1577.49;23050.19;1994-11-06;48672;36;1352;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1948-05-02;F;True
57;monthly issuance;1993-10-10;45.0;9.0;0.0;0.0;0.0;23.0;23.0;0.0;22.0;10991.5;43563.62;1994-11-06;140400;36;3900;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1941-10-15;M;False
58;monthly issuance;1993-11-21;64.0;12.0;0.0;0.0;12.0;29.0;41.0;0.0;23.0;5646.34;36039.05;1994-11-03;61056;48;1272;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1957-09-06;F;False
59;monthly issuance;1993-11-26;31.0;1.0;0.0;7.0;0.0;17.0;12.0;5.0;14.0;15002.82;50765.42;1994-06-25;91584;24;3816;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1951-11-16;F;False
60;monthly issuance;1993-11-27;15.0;3.0;0.0;0.0;0.0;5.0;5.0;0.0;10.0;6110.86;32702.73;1994-05-02;215388;36;5983;-1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1959-12-17;M;False
61;monthly issuance;1993-11-29;61.0;19.0;0.0;0.0;10.0;25.0;29.0;6.0;26.0;11625.12;57340.51;1994-07-19;252060;60;4201;-1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1965-08-03;F;False
62;issuance after transaction;1994-02-27;10.0;4.0;0.0;0.0;0.0;2.0;2.0;0.0;8.0;8585.04;33211.76;1994-06-14;288360;60;4806;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1935-12-15;M;False
63;weekly issuance;1994-03-07;72.0;16.0;0.0;0.0;0.0;36.0;36.0;0.0;36.0;12958.56;60819.98;1995-01-08;270648;36;7518;-1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1937-11-04;M;False
64;monthly issuance;1994-05-01;45.0;12.0;0.0;0.0;12.0;13.0;25.0;0.0;20.0;3571.59;26122.85;1995-01-02;76380;12;6365;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1957-06-28;F;False
65;weekly issuance;1994-07-01;126.0;3.0;0.0;16.0;35.0;57.0;83.0;9.0;34.0;10683.37;45873.62;1995-10-20;231696;36;6436;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1973-05-30;M;True
66;weekly issuance;1994-09-05;127.0;29.0;0.0;0.0;13.0;57.0;62.0;8.0;57.0;9686.67;51145.52;1995-12-25;125340;60;2089;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1944-06-15;M;False
67;monthly issuance;1994-11-25;13.0;5.0;0.0;0.0;0.0;4.0;4.0;0.0;9.0;8589.67;35538.05;1995-04-02;18564;12;1547;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1963-02-04;F;False
68;monthly issuance;1995-02-11;96.0;18.0;0.0;0.0;13.0;49.0;62.0;0.0;34.0;8501.32;52636.6;1996-07-18;20196;36;561;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1971-02-25;M;False
69;monthly issuance;1995-03-04;36.0;2.0;0.0;7.0;8.0;13.0;20.0;1.0;15.0;6931.62;39063.77;1995-09-22;36168;12;3014;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1961-08-19;M;False
70;monthly issuance;1995-03-11;77.0;20.0;0.0;0.0;0.0;41.0;39.0;2.0;36.0;14561.26;50722.27;1996-10-04;77184;36;2144;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1954-12-09;F;False
71;monthly issuance;1995-05-08;63.0;17.0;0.0;0.0;6.0;28.0;34.0;0.0;29.0;11660.54;50815.8;1996-11-11;110136;24;4589;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1958-02-24;F;False
72;weekly issuance;1995-05-26;18.0;2.0;0.0;5.0;1.0;6.0;7.0;0.0;11.0;24426.47;59352.83;1995-10-29;419880;60;6998;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1945-10-30;F;True
73;monthly issuance;1995-06-08;23.0;7.0;0.0;0.0;2.0;9.0;11.0;0.0;12.0;9027.32;46304.15;1995-11-28;31176;24;1299;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1968-01-29;M;False
74;weekly issuance;1995-08-08;50.0;11.0;0.0;0.0;6.0;21.0;25.0;2.0;23.0;12112.08;60054.73;1996-03-10;247728;48;5161;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1979-06-19;M;False
75;monthly issuance;1995-08-18;50.0;1.0;0.0;8.0;0.0;27.0;24.0;3.0;23.0;15093.96;49482.97;1996-04-25;320976;48;6687;-1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1936-08-09;M;False
76;monthly issuance;1995-10-23;53.0;14.0;0.0;0.0;6.0;23.0;29.0;0.0;24.0;7828.98;37557.05;1996-09-17;68832;36;1912;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1959-07-01;M;False
77;monthly issuance;1996-01-05;53.0;11.0;0.0;0.0;4.0;20.0;24.0;0.0;29.0;5188.34;32646.85;1996-10-04;70656;48;1472;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1952-07-26;M;False
78;weekly issuance;1996-01-11;16.0;7.0;0.0;0.0;0.0;4.0;4.0;0.0;12.0;8680.76;40688.14;1996-08-03;258444;36;7179;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1966-05-27;M;False
79;monthly issuance;1996-01-13;31.0;9.0;0.0;0.0;3.0;12.0;15.0;0.0;16.0;10132.92;49220.98;1996-09-09;71460;36;1985;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1980-08-31;F;True
80;monthly issuance;1996-02-01;38.0;10.0;0.0;0.0;4.0;16.0;20.0;0.0;18.0;5370.04;26449.09;1996-10-03;101520;12;8460;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1976-10-12;F;False
81;monthly issuance;1996-06-09;20.0;8.0;0.0;0.0;0.0;7.0;7.0;0.0;13.0;7186.86;41402.13;1996-11-22;228276;36;6341;1;Prague;1204953;0;0;0;1;1;100.0;12541;0.29;0.43;167;85677;99107;;;1961-08-03;M;True
82;monthly issuance;1993-02-08;196.0;46.0;0.0;0.0;36.0;93.0;120.0;9.0;67.0;13414.56;67891.94;1994-11-02;83016;12;6918;1;north Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;;;1979-03-26;M;False
83;monthly issuance;1994-06-04;55.0;13.0;0.0;0.0;0.0;25.0;23.0;2.0;30.0;9329.63;44005.11;1995-03-19;134784;24;5616;1;north Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;;;1940-05-11;F;False
84;monthly issuance;1995-01-21;110.0;17.0;0.0;0.0;32.0;47.0;79.0;0.0;31.0;5547.67;47798.87;1996-04-29;49440;60;824;1;north Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;;;1966-10-06;F;False
85;monthly issuance;1995-07-14;49.0;10.0;0.0;0.0;0.0;29.0;27.0;2.0;20.0;9121.31;39514.68;1996-05-06;123600;60;2060;1;north Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;;;1967-06-30;M;True
86;weekly issuance;1995-08-18;29.0;8.0;0.0;0.0;0.0;16.0;16.0;0.0;13.0;13517.22;62571.28;1996-01-19;89880;24;3745;1;north Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;;;1963-05-16;M;False
87;monthly issuance;1995-11-22;18.0;2.0;0.0;4.0;0.0;3.0;3.0;0.0;15.0;4932.62;28124.93;1996-03-26;100224;48;2088;-1;north Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;;;1957-02-01;F;False
88;monthly issuance;1996-03-06;42.0;1.0;0.0;8.0;6.0;20.0;22.0;4.0;16.0;16607.01;60273.68;1996-10-29;86184;12;7182;1;north Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;;;1940-12-04;F;False
89;monthly issuance;1996-03-06;42.0;1.0;0.0;8.0;6.0;20.0;22.0;4.0;16.0;16523.6;59935.27;1996-10-29;86184;12;7182;1;north Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;;;1940-12-04;F;False
90;monthly issuance;1996-05-21;39.0;8.0;0.0;0.0;6.0;13.0;19.0;0.0;20.0;7779.82;41994.91;1996-12-21;45024;48;938;1;north Moravia;285387;0;2;8;5;7;89.9;10177;6.63;7.75;81;9878;10108;;;1957-05-04;F;False
91;monthly issuance;1993-02-08;102.0;31.0;5.0;0.0;0.0;53.0;50.0;8.0;44.0;13901.27;58226.5;1994-03-11;51696;24;2154;1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;classic;1993-11-07;1968-01-28;F;False
92;monthly issuance;1993-05-20;191.0;50.0;0.0;0.0;22.0;97.0;103.0;16.0;72.0;11980.31;57357.84;1995-04-11;104712;24;4363;1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1944-12-12;M;False
93;weekly issuance;1993-07-26;86.0;1.0;0.0;17.0;0.0;52.0;51.0;1.0;34.0;16552.96;63383.58;1994-12-20;398640;60;6644;1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1960-02-09;F;False
94;monthly issuance;1993-08-01;72.0;17.0;0.0;0.0;0.0;41.0;41.0;0.0;31.0;4842.77;39290.62;1994-10-25;17508;12;1459;1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1946-04-01;M;False
95;monthly issuance;1993-10-08;82.0;17.0;0.0;0.0;19.0;25.0;42.0;2.0;38.0;7188.85;27658.49;1994-09-29;230220;36;6395;-1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1942-11-09;F;False
96;monthly issuance;1993-12-27;54.0;12.0;0.0;0.0;5.0;27.0;32.0;0.0;22.0;8295.16;40204.46;1994-11-04;59760;24;2490;1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1958-11-26;M;True
97;weekly issuance;1994-01-15;71.0;1.0;0.0;12.0;7.0;39.0;41.0;5.0;25.0;11891.5;37596.93;1995-02-08;221280;48;4610;1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1968-03-28;M;True
98;monthly issuance;1994-05-16;57.0;14.0;0.0;0.0;0.0;29.0;21.0;8.0;28.0;8289.66;30491.1;1995-02-11;151728;48;3161;-1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1976-06-23;M;False
99;monthly issuance;1994-06-01;113.0;1.0;0.0;18.0;14.0;62.0;71.0;5.0;37.0;8187.95;36421.43;1995-12-05;194880;48;4060;1;north Moravia;323870;0;0;0;1;1;100.0;10673;4.75;5.44;100;18782;18347;;;1979-12-06;M;False
