loan_id;loan status;age at loan (Years);acc age at loan (Years);# trans;oper #1;oper #2;oper #3;oper #4;oper #5;type #1;type #2;type #3;avg trans amount;avg trans balance;loan amount;loan duration (mths);loan payments;no. of inhabitants;no. of municipalities with inhabitants < 499 ;no. of municipalities with inhabitants 500-1999;no. of municipalities with inhabitants 2000-9999 ;no. of municipalities with inhabitants >10000 ;no. of cities ;ratio of urban inhabitants ;average salary ;no. of enterpreneurs per 1000 inhabitants ;sex;has disponent;unemploymant rate;no. of commited crimes per capita;account_year;account_month;account_day;loan_year;loan_month;loan_day;birth_year;birth_month;birth_day;frequency_issuance after transaction;frequency_monthly issuance;frequency_weekly issuance;card_owner;card type_None;card type_classic;card type_gold;card type_junior
6821;;37.437371663244356;1.8973305954825463;178.0;42.0;0.0;0.0;36.0;56.0;92.0;0.0;86.0;4220.94;32014.6;321936;48;6707;1204953;0;0;0;1;1;100.0;12541;167;F;True;0.36;0.07667684963645885;1996;10;22;1998;9;15;1961;4;8;0;1;0;0;1;0;0;0
6310;;20.462696783025326;0.6242299794661191;40.0;15.0;0.0;0.0;0.0;19.0;17.0;2.0;21.0;13359.81;60619.16;34572;12;2881;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;11;1;1997;6;17;1976;12;30;0;1;0;0;1;0;0;0
5760;;56.00547570157426;1.8179329226557153;169.0;39.0;0.0;0.0;34.0;76.0;101.0;9.0;59.0;11652.36;56133.65;74916;36;2081;1204953;0;0;0;1;1;100.0;12541;167;M;False;0.36;0.07667684963645885;1996;11;23;1998;9;18;1942;9;16;0;1;0;0;1;0;0;0
5491;;61.834360027378516;1.1937029431895962;110.0;25.0;0.0;0.0;33.0;38.0;71.0;0.0;39.0;3808.92;22133.74;428784;48;8933;1204953;0;0;0;1;1;100.0;12541;167;M;True;0.36;0.07667684963645885;1996;12;4;1998;2;13;1936;4;14;0;1;0;0;1;0;0;0
6468;;43.5564681724846;0.9801505817932924;54.0;13.0;0.0;0.0;7.0;24.0;31.0;0.0;23.0;9742.9;42000.79;203940;60;3399;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1996;12;7;1997;11;30;1954;5;11;0;1;0;0;1;0;0;0
7129;;28.550308008213552;1.1663244353182751;113.0;15.0;0.0;0.0;39.0;45.0;84.0;0.0;29.0;6314.96;48180.38;194280;60;3238;1204953;0;0;0;1;1;100.0;12541;167;M;False;0.36;0.07667684963645885;1996;12;30;1998;3;1;1969;8;12;0;1;0;0;1;0;0;0
7277;;49.94387405886379;0.7145790554414785;52.0;1.0;0.0;9.0;9.0;25.0;29.0;5.0;18.0;15233.59;60522.04;89280;12;7440;1204953;0;0;0;1;1;100.0;12541;167;M;False;0.36;0.07667684963645885;1997;2;5;1997;10;24;1947;11;14;0;1;0;0;1;0;0;0
7264;;21.713894592744694;0.6516084873374401;40.0;14.0;0.0;0.0;0.0;19.0;16.0;3.0;21.0;13027.2;52484.82;44940;12;3745;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1997;2;11;1997;10;7;1976;1;20;0;0;1;0;1;0;0;0
6234;;35.19507186858316;1.2210814510609171;80.0;15.0;0.0;0.0;9.0;43.0;52.0;0.0;28.0;7503.72;43197.28;5148;12;429;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1997;3;8;1998;5;28;1963;3;18;0;1;0;0;1;0;0;0
7172;;19.392197125256672;1.136208076659822;86.0;1.0;0.0;13.0;18.0;41.0;56.0;3.0;27.0;9538.88;41690.6;45720;12;3810;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1997;3;18;1998;5;7;1978;12;15;0;1;0;0;1;0;0;0
6791;;25.963039014373717;0.8432580424366872;77.0;14.0;0.0;0.0;23.0;22.0;45.0;0.0;32.0;5104.68;36640.32;566640;60;9444;1204953;0;0;0;1;1;100.0;12541;167;F;True;0.36;0.07667684963645885;1997;3;21;1998;1;23;1972;2;6;0;1;0;0;1;0;0;0
7051;;41.661875427789184;0.3203285420944558;23.0;10.0;0.0;0.0;0.0;10.0;10.0;0.0;13.0;12138.52;68874.72;77808;12;6484;1204953;0;0;0;1;1;100.0;12541;167;M;True;0.36;0.07667684963645885;1997;4;2;1997;7;28;1955;11;29;0;1;0;0;1;0;0;0
7037;;53.738535249828885;0.6598220396988365;39.0;1.0;0.0;7.0;6.0;18.0;20.0;4.0;15.0;10188.81;54315.56;218064;48;4543;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1997;5;7;1998;1;3;1944;4;8;0;1;0;0;1;0;0;0
7181;;34.913073237508556;0.34223134839151265;15.0;1.0;0.0;4.0;0.0;6.0;6.0;0.0;9.0;26978.87;64942.89;197808;24;8242;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1997;5;30;1997;10;2;1962;11;3;0;1;0;0;1;0;0;0
5782;;37.75496235455168;0.5530458590006845;32.0;2.0;0.0;6.0;0.0;12.0;12.0;0.0;20.0;11790.42;59128.59;63576;12;5298;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1997;6;16;1998;1;4;1960;4;3;0;1;0;0;1;0;0;0
6948;;26.50513347022587;0.6707734428473648;21.0;6.0;0.0;0.0;0.0;7.0;7.0;0.0;14.0;10315.96;38742.92;157068;36;4363;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1997;7;13;1998;3;15;1971;9;12;0;1;0;0;1;0;0;0
5644;;34.70773442847365;1.3032169746748803;142.0;2.0;1.0;16.0;47.0;61.0;100.0;9.0;33.0;10721.93;58466.19;276084;36;7669;1204953;0;0;0;1;1;100.0;12541;167;F;False;0.36;0.07667684963645885;1997;8;8;1998;11;27;1964;3;13;0;1;0;1;0;1;0;0
6168;;47.66872005475702;1.212867898699521;86.0;23.0;0.0;0.0;9.0;40.0;46.0;3.0;37.0;12681.03;57018.62;99216;36;2756;1204953;0;0;0;1;1;100.0;12541;167;F;True;0.36;0.07667684963645885;1997;9;4;1998;11;21;1951;3;22;0;1;0;0;1;0;0;0
5334;;19.463381245722108;0.9719370294318961;66.0;16.0;0.0;0.0;14.0;25.0;39.0;0.0;27.0;6884.19;44982.42;209040;24;8710;1204953;0;0;0;1;1;100.0;12541;167;M;False;0.36;0.07667684963645885;1997;9;20;1998;9;10;1979;3;25;0;1;0;0;1;0;0;0
5930;;22.031485284052017;0.30116358658453113;16.0;7.0;0.0;0.0;1.0;5.0;6.0;0.0;10.0;10860.61;58360.68;66696;24;2779;1204953;0;0;0;1;1;100.0;12541;167;M;False;0.36;0.07667684963645885;1997;9;24;1998;1;12;1976;1;1;0;1;0;0;1;0;0;0
5210;;35.07186858316222;1.6837782340862424;118.0;2.0;0.0;20.0;0.0;76.0;72.0;4.0;42.0;8874.04;40688.35;148140;36;4115;53921;61;22;1;1;2;41.3;8598;123;F;False;3.0149999999999997;0.03219524860443983;1995;7;26;1997;4;1;1962;3;6;0;0;1;0;1;0;0;0
5428;;48.84873374401095;1.8124572210814511;153.0;42.0;3.0;0.0;0.0;86.0;80.0;9.0;64.0;15620.82;64923.16;230220;36;6395;53921;61;22;1;1;2;41.3;8598;123;M;False;3.0149999999999997;0.03219524860443983;1997;2;8;1998;12;2;1950;1;26;0;1;0;1;0;1;0;0
6059;;40.993839835728956;0.4982888432580425;31.0;9.0;0.0;0.0;3.0;14.0;17.0;0.0;14.0;14454.19;49309.01;79824;12;6652;53921;61;22;1;1;2;41.3;8598;123;M;False;3.0149999999999997;0.03219524860443983;1997;6;29;1997;12;28;1956;12;30;0;0;1;0;1;0;0;0
6569;;51.0362765229295;0.9007529089664613;56.0;2.0;0.0;11.0;0.0;33.0;31.0;2.0;23.0;8875.53;39247.39;45456;12;3788;53921;61;22;1;1;2;41.3;8598;123;F;False;3.0149999999999997;0.03219524860443983;1997;7;3;1998;5;28;1947;5;15;0;1;0;0;1;0;0;0
5110;;51.51813826146475;1.6618754277891854;126.0;33.0;0.0;0.0;15.0;58.0;73.0;0.0;53.0;3746.16;29947.0;102240;60;1704;109164;98;16;6;1;4;63.6;8757;96;F;True;3.665;0.021449378916126194;1995;8;3;1997;4;1;1945;9;24;0;1;0;0;1;0;0;0
5681;;17.66735112936345;1.3716632443531827;73.0;14.0;0.0;0.0;0.0;43.0;42.0;1.0;30.0;7446.94;36855.82;68664;24;2861;109164;98;16;6;1;4;63.6;8757;96;F;True;3.665;0.021449378916126194;1996;6;6;1997;10;20;1980;2;19;0;0;1;0;1;0;0;0
5698;;47.37850787132101;1.0650239561943875;87.0;6.0;0.0;13.0;18.0;38.0;46.0;10.0;31.0;5778.62;34822.47;174840;60;2914;109164;98;16;6;1;4;63.6;8757;96;F;False;3.665;0.021449378916126194;1997;8;29;1998;9;22;1951;5;7;0;1;0;0;1;0;0;0
6037;;32.9637234770705;1.7467488021902806;150.0;29.0;0.0;0.0;33.0;67.0;100.0;0.0;50.0;2734.47;30896.0;53232;48;1109;226122;32;50;7;4;4;62.6;8994;110;M;False;4.295;0.041747375310673;1995;8;5;1997;5;4;1964;5;17;0;1;0;0;1;0;0;0
7139;;42.40930869267625;1.6509240246406571;129.0;21.0;9.0;0.0;16.0;64.0;89.0;0.0;40.0;7822.42;54304.51;23412;12;1951;226122;32;50;7;4;4;62.6;8994;110;M;True;4.295;0.041747375310673;1996;5;29;1998;1;22;1955;8;26;0;1;0;1;0;1;0;0
5976;;35.64955509924709;1.023956194387406;86.0;18.0;0.0;0.0;32.0;25.0;57.0;0.0;29.0;5107.33;26347.12;465504;48;9698;226122;32;50;7;4;4;62.6;8994;110;M;False;4.295;0.041747375310673;1996;12;18;1997;12;27;1962;5;4;0;1;0;0;1;0;0;0
6113;;26.524298425735797;0.6132785763175906;41.0;2.0;0.0;7.0;12.0;13.0;24.0;1.0;16.0;4217.72;40292.34;78696;36;2186;226122;32;50;7;4;4;62.6;8994;110;F;False;4.295;0.041747375310673;1997;2;19;1997;10;1;1971;3;24;0;1;0;0;1;0;0;0
5046;;61.273100616016436;1.2539356605065024;85.0;26.0;0.0;0.0;10.0;34.0;44.0;0.0;41.0;3205.86;17076.76;42816;12;3568;226122;32;50;7;4;4;62.6;8994;110;M;True;4.295;0.041747375310673;1997;6;8;1998;9;9;1937;6;1;0;1;0;0;1;0;0;0
5942;;39.35934291581109;1.6016427104722792;134.0;4.0;0.0;20.0;31.0;60.0;90.0;1.0;43.0;6360.31;37092.95;162624;48;3388;285387;0;2;8;5;7;89.9;10177;81;F;False;7.1899999999999995;0.03501561038169223;1995;8;8;1997;3;15;1957;11;4;0;1;0;0;1;0;0;0
6959;;44.84325804243669;1.4757015742642026;120.0;26.0;0.0;0.0;0.0;65.0;57.0;8.0;55.0;10629.01;45016.69;59448;24;2477;285387;0;2;8;5;7;89.9;10177;81;M;False;7.1899999999999995;0.03501561038169223;1996;1;8;1997;6;30;1952;8;26;0;1;0;0;1;0;0;0
7147;;39.950718685831625;1.8562628336755647;112.0;36.0;0.0;0.0;0.0;55.0;53.0;2.0;57.0;13043.2;62460.23;267600;48;5575;285387;0;2;8;5;7;89.9;10177;81;F;False;7.1899999999999995;0.03501561038169223;1996;2;24;1998;1;2;1958;1;20;0;0;1;0;1;0;0;0
5086;;41.31690622861054;1.322381930184805;59.0;15.0;0.0;0.0;6.0;24.0;30.0;0.0;29.0;7825.45;45912.4;210384;48;4383;285387;0;2;8;5;7;89.9;10177;81;F;False;7.1899999999999995;0.03501561038169223;1996;3;20;1997;7;16;1956;3;22;0;1;0;0;1;0;0;0
5447;;50.902121834360024;1.6071184120465434;174.0;23.0;0.0;0.0;60.0;57.0;117.0;0.0;57.0;3555.92;12006.4;541200;60;9020;285387;0;2;8;5;7;89.9;10177;81;F;False;7.1899999999999995;0.03501561038169223;1996;4;4;1997;11;12;1946;12;18;0;1;0;0;1;0;0;0
5377;;23.123887748117728;1.2566735112936345;104.0;24.0;0.0;0.0;22.0;43.0;60.0;5.0;39.0;9193.25;42291.19;92400;12;7700;285387;0;2;8;5;7;89.9;10177;81;F;False;7.1899999999999995;0.03501561038169223;1996;5;2;1997;8;4;1974;6;20;0;1;0;1;0;1;0;0
5158;;22.60917180013689;1.7741273100616017;148.0;42.0;0.0;0.0;0.0;87.0;83.0;4.0;61.0;15490.92;64193.4;188532;36;5237;285387;0;2;8;5;7;89.9;10177;81;F;False;7.1899999999999995;0.03501561038169223;1996;7;2;1998;4;11;1975;9;1;0;1;0;0;1;0;0;0
7085;;33.68377823408625;0.947296372347707;83.0;19.0;0.0;0.0;18.0;35.0;49.0;4.0;30.0;9989.97;46147.52;305424;48;6363;285387;0;2;8;5;7;89.9;10177;81;F;False;7.1899999999999995;0.03501561038169223;1996;7;8;1997;6;19;1963;10;13;0;1;0;0;1;0;0;0
6612;;37.18822724161533;1.0951403148528405;81.0;22.0;0.0;0.0;10.0;36.0;45.0;1.0;35.0;9153.71;36685.09;97392;12;8116;285387;0;2;8;5;7;89.9;10177;81;M;True;7.1899999999999995;0.03501561038169223;1996;7;27;1997;8;31;1960;6;23;0;1;0;0;1;0;0;0
6490;;56.596851471594796;0.4490075290896646;21.0;7.0;0.0;0.0;1.0;8.0;9.0;0.0;12.0;8085.1;33927.09;73260;60;1221;285387;0;2;8;5;7;89.9;10177;81;F;False;7.1899999999999995;0.03501561038169223;1996;8;30;1997;2;10;1940;7;7;0;1;0;0;1;0;0;0
6758;;17.503080082135522;0.4982888432580425;32.0;10.0;0.0;0.0;4.0;8.0;12.0;0.0;20.0;5645.51;32407.65;33144;12;2762;285387;0;2;8;5;7;89.9;10177;81;F;True;7.1899999999999995;0.03501561038169223;1997;1;28;1997;7;29;1980;1;27;0;1;0;0;1;0;0;0
5015;;53.711156741957566;1.379876796714579;93.0;27.0;1.0;0.0;13.0;36.0;50.0;0.0;43.0;7501.67;48376.26;109344;12;9112;285387;0;2;8;5;7;89.9;10177;81;F;False;7.1899999999999995;0.03501561038169223;1997;2;23;1998;7;12;1944;10;25;0;1;0;1;0;1;0;0
5346;;49.96577686516085;1.7631759069130732;114.0;8.0;0.0;21.0;0.0;64.0;58.0;6.0;50.0;6040.26;29645.32;55632;24;2318;285387;0;2;8;5;7;89.9;10177;81;M;False;7.1899999999999995;0.03501561038169223;1997;3;2;1998;12;6;1948;12;18;0;1;0;0;1;0;0;0
